#large	- gcbench
/proc	247.582243	0.392775
SPML	146.298039	11.351193
EPML	125.204933	0.12361


#medium
/proc	92.2540255	0.4258885
SPML	61.955824	12.172512
EPML	38.4391555	0.129799


#small
/proc	23.112358	0.401872
SPML	17.125087	12.841286
EPML	13.496063	0.394968


#large	- pca
/proc	30595.025	418.7445
SPML	30302.925	12389.7025
EPML	25032.42	620.946


#medium	- pca
/proc	16709.254	457.238
SPML	16924.4785	12811.91
EPML	11146.649	126.0715


#small	- pca
/proc	4309.445	531.007
SPML	3425.045	11769.246
EPML	2090.3		157.37


#large	- kmeans
/proc	48002.765	426.3915
SPML	47026.0505	11922.265
EPML	36877.555	366.939


#medium	- kmeans
/proc	8581.544	469.6775
SPML	7040.3105	25088.3835
EPML	6393.528	272.172


#small	- kmeans
/proc	3387.757	453.762
SPML	1520.539	11996.536
EPML	2315.741	40.23


#large	- string
/proc	35853.853	472.82
SPML	35295.756	12139.241
EPML	30291.248	57



#medium	- string
/proc	19228.597	444.752
SPML	18739.17	12559.744
EPML	13665.992	158.032


#small	- string
/proc	11121.202	446.117
SPML	11437.413	12280.0795
EPML	8380.597	124.807


#large	- histogram
/proc	226910.807	523.631
SPML	183546.004	11443.892
EPML	143327.742	140.736


#medium	- histogram
/proc	66146.7755	394.304
SPML	63334.201	11428.595
EPML	38292.6105	320.896


#small	- histogram
/proc	18657.974	400.382
SPML	18652.906	11917.1165
EPML	15881.814	131.7865


#large	- word
/proc	34793.7025	436.0885	
SPML	34801.2035	11405.312
EPML	29231.0975	58.8785


#medium	- word
/proc	45356.841	424.143	
SPML	44670.607	12145.896
EPML	34231.631	104.691


#small	- word
/proc	48146.744	391.3715
SPML	31953.3895	11302.9955
EPML	31458.929	87.151


#large	- matrix
/proc	30110.289	447.013
SPML	28375.795	13197.392
EPML	26088.144	126.654


#medium	- matrix
/proc	6834.546	435.906
SPML	5421.6015	12821.335
EPML	3875.686	462.543


#small	- matrix
/proc	5116.945	441.287
SPML	3327.316	11556.639
EPML	3327.316	117.654


